Student ID,student_name,gender,grade,school_name,reading_score,math_score
16791,Abigail Casey,F,11th,Cabrera High School,99,87
19604,Abigail Casey,F,11th,Bailey High School,73,83
15679,Abigail Charles,F,9th,Wilson High School,88,95
30408,Abigail Cole,F,12th,Johnson High School,69,93
23072,Abigail Cunningham,F,11th,Holden High School,92,94
12530,Abigail Donovan,F,9th,Griffin High School,90,72
38334,Abigail Durham,F,9th,Thomas High School,77,82
22297,Abigail Espinoza,F,9th,Bailey High School,67,96
31922,Abigail Gallagher,F,9th,Johnson High School,71,65
2876,Abigail Grimes,F,10th,Huang High School,86,71
34521,Abigail Hamilton,F,9th,Johnson High School,63,91
5791,Abigail Haynes,F,11th,Figueroa High School,89,77
16966,Abigail Hill,F,10th,Cabrera High School,76,91
33918,Abigail Johnson,F,9th,Johnson High School,87,84
14258,Abigail Lewis,F,11th,Wilson High School,98,74
24222,Abigail Lucas,F,10th,Pena High School,74,84
14757,Abigail Mason,F,9th,Wilson High School,70,75
23767,Abigail Miller,F,12th,Pena High School,77,84
29024,Abigail Miller,F,11th,Rodriguez High School,79,72
6798,Abigail Moore,F,9th,Shelton High School,78,94
10522,Abigail Moore,F,9th,Hernandez High School,67,92
4063,Abigail Nguyen,F,9th,Figueroa High School,65,72
20191,Abigail Perez,F,9th,Bailey High School,99,82
8056,Abigail Rich,F,9th,Hernandez High School,93,94
17807,Abigail Rodriguez,F,11th,Cabrera High School,94,77
8454,Abigail Rogers,F,10th,Hernandez High School,84,90
3464,Abigail Shelton,F,11th,Figueroa High School,83,78
18887,Abigail Smith,F,12th,Bailey High School,99,89
17493,Abigail Ward,F,12th,Cabrera High School,69,73
31270,Abigail Weiss,F,9th,Johnson High School,78,69
1300,Abigail White,F,10th,Huang High School,98,59
39017,Abigail White,F,10th,Thomas High School,84,87
24576,Abigail Williams,F,11th,Wright High School,72,97
21506,Abigail Young,F,9th,Bailey High School,86,58
24731,Abigail Zhang,F,11th,Wright High School,78,79
13934,Adam Allen,M,9th,Wilson High School,93,94
16356,Adam Allen,M,12th,Cabrera High School,78,98
4767,Adam Anderson,M,11th,Figueroa High School,76,83
9171,Adam Anderson,M,11th,Hernandez High School,76,60
23458,Adam Anderson,M,11th,Pena High School,83,71
32563,Adam Anderson,M,11th,Johnson High School,77,72
23602,Adam Arnold,M,11th,Pena High School,84,95
8474,Adam Arroyo ,M,10th,Hernandez High School,78,77
7392,Adam Banks,M,11th,Shelton High School,80,88
34696,Adam Baxter,M,10th,Johnson High School,84,59
7678,Adam Bell,M,9th,Hernandez High School,85,83
8036,Adam Berg,M,12th,Hernandez High School,70,89
30932,Adam Brown,M,12th,Johnson High School,79,97
34927,Adam Bryan,M,9th,Ford High School,92,83
18332,Adam Cabrera,M,12th,Bailey High School,77,97
13337,Adam Cain,M,9th,Griffin High School,75,83
5726,Adam Carroll,M,10th,Figueroa High School,78,66
26408,Adam Carter,M,10th,Rodriguez High School,81,78
17077,Adam Cisneros,M,11th,Cabrera High School,83,92
22727,Adam Clarke,M,10th,Bailey High School,71,86
10211,Adam Cruz,M,12th,Hernandez High School,80,90
18204,Adam Cruz,M,9th,Bailey High School,76,96
29181,Adam Curtis,M,11th,Rodriguez High School,67,64
37823,Adam Davis,M,12th,Thomas High School,74,68
27796,Adam Dean,M,9th,Rodriguez High School,72,79
4411,Adam Decker,M,12th,Figueroa High School,93,89
27667,Adam Diaz,M,11th,Rodriguez High School,85,59
23652,Adam Eaton,M,11th,Pena High School,83,80
33273,Adam Erickson,M,10th,Johnson High School,80,96
5830,Adam Ferrell,M,11th,Figueroa High School,78,70
15119,Adam Fields,M,12th,Wilson High School,77,72
14359,Adam Fleming,M,12th,Wilson High School,77,72
34067,Adam Frank,M,9th,Johnson High School,79,88
17106,Adam Freeman,M,12th,Cabrera High School,93,73
33663,Adam Garcia,M,11th,Johnson High School,91,82
33579,Adam Gardner,M,9th,Johnson High School,65,64
34640,Adam Garza,M,9th,Johnson High School,74,73
11518,Adam George,M,12th,Hernandez High School,76,66
37582,Adam Gibbs,M,12th,Thomas High School,88,81
4913,Adam Gomez,M,10th,Figueroa High School,70,86
17097,Adam Gomez,M,10th,Cabrera High School,75,75
2383,Adam Gonzales,M,11th,Huang High School,79,66
22298,Adam Griffin,M,9th,Bailey High School,96,74
34941,Adam Haas,M,11th,Ford High School,66,84
16921,Adam Haley,M,10th,Cabrera High School,85,89
38850,Adam Haley,M,10th,Thomas High School,78,76
13591,Adam Hall,M,10th,Griffin High School,69,84
17588,Adam Haney,M,10th,Cabrera High School,84,92
31860,Adam Harmon,M,10th,Johnson High School,77,91
7981,Adam Harris,M,9th,Hernandez High School,67,95
33791,Adam Harris,M,12th,Johnson High School,75,64
1061,Adam Harrison,M,10th,Huang High School,95,97
25067,Adam Hayes III,M,10th,Wright High School,83,83
22715,Adam Herman,M,12th,Bailey High School,79,78
18218,Adam Herring,M,9th,Bailey High School,80,63
13342,Adam Hill,M,10th,Griffin High School,89,83
27039,Adam Hill,M,10th,Rodriguez High School,73,64
38427,Adam Hinton,M,11th,Thomas High School,94,93
19126,Adam Hobbs,M,12th,Bailey High School,67,96
30333,Adam Hoffman,M,9th,Johnson High School,92,66
18665,Adam Holt,M,10th,Bailey High School,94,79
34596,Adam Howard,M,12th,Johnson High School,64,79
22653,Adam Huffman,M,12th,Bailey High School,63,62
6964,Adam Hunt,M,12th,Shelton High School,79,83
26401,Adam Jenkins,M,10th,Rodriguez High School,84,58
8080,Adam Jones,M,10th,Hernandez High School,70,63
19845,Adam Keller,M,12th,Bailey High School,88,83
20119,Adam Keller,M,12th,Bailey High School,64,94
15096,Adam Kim,M,9th,Wilson High School,86,68
7782,Adam Kirby,M,9th,Hernandez High School,80,77
18873,Adam Lamb,M,9th,Bailey High School,71,62
12316,Adam Lloyd,M,9th,Griffin High School,71,70
36537,Adam Lopez,M,11th,Ford High School,95,70
14074,Adam Love,M,10th,Wilson High School,79,77
38106,Adam Lynch,M,11th,Thomas High School,95,99
9267,Adam Marquez,M,9th,Hernandez High School,87,71
14672,Adam Mason,M,12th,Wilson High School,79,69
38306,Adam Maxwell,M,10th,Thomas High School,70,92
37125,Adam Mcintosh,M,10th,Ford High School,63,76
34872,Adam Mckinney,M,12th,Ford High School,89,58
16194,Adam Moore,M,11th,Cabrera High School,85,76
31794,Adam Moore,M,11th,Johnson High School,65,65
28640,Adam Munoz PhD,M,10th,Rodriguez High School,82,97
31535,Adam Myers,M,11th,Johnson High School,99,98
9400,Adam Nelson,M,10th,Hernandez High School,96,91
10550,Adam Nelson,M,9th,Hernandez High School,79,80
7770,Adam Ochoa,M,10th,Hernandez High School,63,64
13320,Adam Oconnor,M,9th,Griffin High School,76,73
1080,Adam Oneill,M,11th,Huang High School,87,75
35215,Adam Osborne,M,9th,Ford High School,92,94
8476,Adam Parker,M,11th,Hernandez High School,95,95
24612,Adam Parrish,M,12th,Wright High School,88,80
28243,Adam Parrish,M,12th,Rodriguez High School,78,56
18792,Adam Patton,M,9th,Bailey High School,87,97
35525,Adam Patton,M,11th,Ford High School,66,55
19957,Adam Payne,M,10th,Bailey High School,96,95
34350,Adam Peterson,M,11th,Johnson High School,87,71
6490,Adam Poole,M,12th,Shelton High School,98,89
27191,Adam Pope,M,9th,Rodriguez High School,69,69
28330,Adam Ramirez,M,9th,Rodriguez High School,93,65
16698,Adam Rasmussen,M,11th,Cabrera High School,90,90
1294,Adam Reed,M,10th,Huang High School,83,82
3425,Adam Reed,M,9th,Figueroa High School,65,67
28853,Adam Reed,M,9th,Rodriguez High School,71,56
33394,Adam Roberts,M,9th,Johnson High School,98,63
34435,Adam Robinson,M,12th,Johnson High School,76,86
11441,Adam Rodriguez,M,9th,Hernandez High School,75,62
13475,Adam Rodriguez,M,9th,Griffin High School,72,95
18615,Adam Rodriguez,M,9th,Bailey High School,90,59
32966,Adam Rodriguez,M,12th,Johnson High School,73,67
4812,Adam Rogers,M,9th,Figueroa High School,88,74
25384,Adam Santiago,M,9th,Wright High School,72,95
12611,Adam Schaefer,M,9th,Griffin High School,78,92
10885,Adam Shaw,M,12th,Hernandez High School,85,60
4820,Adam Simon,M,11th,Figueroa High School,91,69
16336,Adam Simpson,M,12th,Cabrera High School,81,78
24968,Adam Singh,M,10th,Wright High School,76,97
1422,Adam Small,M,9th,Huang High School,85,77
9053,Adam Smith,M,12th,Hernandez High School,98,88
11631,Adam Smith,M,10th,Hernandez High School,98,55
12599,Adam Smith,M,9th,Griffin High School,94,75
16735,Adam Smith,M,11th,Cabrera High School,99,79
32709,Adam Spencer,M,12th,Johnson High School,96,61
25488,Adam Stevens,M,9th,Wright High School,92,68
21291,Adam Stevenson,M,10th,Bailey High School,79,91
29096,Adam Tapia,M,11th,Rodriguez High School,85,85
2499,Adam Tate,M,11th,Huang High School,98,57
14218,Adam Taylor,M,9th,Wilson High School,86,88
8490,Adam Terry,M,9th,Hernandez High School,64,60
8688,Adam Thomas,M,10th,Hernandez High School,77,65
36110,Adam Thompson MD,M,9th,Ford High School,88,97
30054,Adam Townsend,M,11th,Johnson High School,75,64
1529,Adam Tucker,M,12th,Huang High School,98,69
721,Adam Vance,M,10th,Huang High School,72,73
17084,Adam Walker DVM,M,9th,Cabrera High School,75,97
1104,Adam Wall,M,9th,Huang High School,66,72
18466,Adam Walsh,M,12th,Bailey High School,95,84
30018,Adam Watson,M,9th,Rodriguez High School,75,61
26825,Adam Weeks,M,9th,Rodriguez High School,91,86
12638,Adam Wheeler,M,10th,Griffin High School,99,78
35933,Adam Wilkerson,M,10th,Ford High School,80,88
27878,Adam Wise,M,11th,Rodriguez High School,94,76
26688,Adam Wood,M,9th,Rodriguez High School,79,80
38399,Adam Woods,M,10th,Thomas High School,99,78
872,Adrian Black,M,10th,Huang High School,99,85
739,Adrian Bowman,M,12th,Huang High School,92,79
29963,Adrian Brown,M,11th,Rodriguez High School,81,75
23036,Adrian Cohen,M,10th,Holden High School,70,75
5599,Adrian Collins,M,11th,Figueroa High School,90,75
3734,Adrian Crane,M,12th,Figueroa High School,72,99
22214,Adrian Davis,M,9th,Bailey High School,86,82
15989,Adrian Delacruz,M,9th,Wilson High School,70,78
34845,Adrian Delacruz,M,10th,Ford High School,69,69
18505,Adrian Diaz,M,11th,Bailey High School,75,68
3744,Adrian Flores,M,9th,Figueroa High School,90,80
25864,Adrian Francis,M,11th,Wright High School,85,94
10909,Adrian Gallagher,M,11th,Hernandez High School,93,86
22463,Adrian Garcia,M,12th,Bailey High School,90,63
20958,Adrian Gonzalez,M,11th,Bailey High School,87,89
18319,Adrian Gray,M,10th,Bailey High School,70,71
1585,Adrian Greene,M,12th,Huang High School,79,66
6883,Adrian Griffin,M,10th,Shelton High School,93,94
14494,Adrian Hahn,M,11th,Wilson High School,98,83
31495,Adrian Johnson,M,9th,Johnson High School,66,94
30464,Adrian Marshall,M,11th,Johnson High School,94,73
37611,Adrian Martinez,M,10th,Thomas High School,89,87
24032,Adrian Mitchell,M,10th,Pena High School,76,84
13784,Adrian Morrow,M,9th,Wilson High School,93,80
35243,Adrian Nelson,M,11th,Ford High School,77,55
7864,Adrian Payne,M,10th,Hernandez High School,90,89
9016,Adrian Richardson,M,9th,Hernandez High School,95,55
24352,Adrian Richardson,M,11th,Wright High School,98,71
4346,Adrian Robinson,M,10th,Figueroa High School,82,76
16078,Adrian Smith,M,12th,Cabrera High School,77,77
29494,Adrian Smith,M,12th,Rodriguez High School,71,91
22410,Adrian Stevens,M,11th,Bailey High School,80,95
30642,Adrian Vargas,M,10th,Johnson High School,98,90
7327,Adrian Vaughn,M,11th,Shelton High School,90,71
6178,Adrian Williams,M,11th,Shelton High School,89,92
25681,Adrian Yates,M,9th,Wright High School,80,92
31258,Adrian York,M,9th,Johnson High School,83,56
23495,Adriana Blankenship,F,12th,Pena High School,70,68
16764,Adriana Brown,F,11th,Cabrera High School,78,90
34795,Adriana Brown,F,9th,Johnson High School,97,68
13072,Adriana David,F,10th,Griffin High School,87,69
29904,Adriana Davis,F,10th,Rodriguez High School,81,78
17430,Adriana Foley,F,10th,Cabrera High School,75,77
19207,Adriana Graves,F,12th,Bailey High School,98,87
9465,Adriana Hernandez,F,12th,Hernandez High School,92,72
38730,Adriana Reyes,F,10th,Thomas High School,90,78
19075,Adriana Smith,F,9th,Bailey High School,63,83
21220,Adriana Snyder,F,9th,Bailey High School,93,55
999,Adriana Wade MD,F,12th,Huang High School,88,67
22560,Adriana Wall,F,9th,Bailey High School,85,74
13034,Adrienne Blair,F,9th,Griffin High School,97,69
19554,Adrienne Chavez,F,10th,Bailey High School,79,60
31046,Adrienne Daniels,F,11th,Johnson High School,74,99
21360,Adrienne Howard,F,10th,Bailey High School,77,96
27603,Adrienne Jackson,F,11th,Rodriguez High School,75,94
9692,Adrienne Jimenez,F,10th,Hernandez High School,99,56
37283,Adrienne Johnson,F,9th,Ford High School,86,94
30694,Adrienne Kelley,F,12th,Johnson High School,81,68
34592,Adrienne Marquez,F,9th,Johnson High School,84,72
8463,Adrienne Martin,F,11th,Hernandez High School,78,73
31560,Adrienne Norris,F,10th,Johnson High School,76,88
35346,Adrienne Padilla,F,11th,Ford High School,78,70
35952,Adrienne Reese,F,9th,Ford High School,90,86
14163,Adrienne Salazar,F,9th,Wilson High School,80,83
21859,Adrienne Taylor,F,12th,Bailey High School,81,73
38397,Adrienne Turner MD,F,9th,Thomas High School,80,78
18170,Aimee Anderson,F,10th,Bailey High School,84,63
19224,Aimee Escobar,F,11th,Bailey High School,89,92
34072,Aimee Jackson,F,11th,Johnson High School,63,63
232,Aimee Johnson,F,9th,Huang High School,97,55
13104,Aimee Mcguire,F,12th,Griffin High School,77,81
33425,Aimee Miller,F,10th,Johnson High School,70,96
38112,Aimee Olsen,F,11th,Thomas High School,86,92
11109,Aimee Patterson,F,12th,Hernandez High School,75,68
4236,Alan Arnold,M,12th,Figueroa High School,73,81
31744,Alan Arnold,M,9th,Johnson High School,70,55
11960,Alan Barnes,M,9th,Hernandez High School,91,66
4776,Alan Brewer,M,11th,Figueroa High School,80,71
21449,Alan Burnett,M,9th,Bailey High School,92,91
16423,Alan Chan,M,12th,Cabrera High School,93,96
10881,Alan Clark,M,9th,Hernandez High School,78,84
15758,Alan Clark,M,9th,Wilson High School,75,68
23768,Alan Duncan,M,11th,Pena High School,75,82
35644,Alan Ferguson,M,10th,Ford High School,95,60
452,Alan Garcia,M,10th,Huang High School,88,60
9277,Alan Garcia,M,10th,Hernandez High School,75,89
12453,Alan Gibson,M,11th,Griffin High School,74,80
24566,Alan Gray,M,12th,Wright High School,77,69
26454,Alan Guzman,M,10th,Rodriguez High School,79,86
17898,Alan Hall,M,12th,Bailey High School,86,71
38059,Alan Harmon,M,12th,Thomas High School,77,69
424,Alan Henry,M,9th,Huang High School,63,81
27732,Alan Hunter,M,11th,Rodriguez High School,70,64
6752,Alan Jackson,M,12th,Shelton High School,91,93
13792,Alan Jackson,M,9th,Wilson High School,87,97
29887,Alan Jensen,M,11th,Rodriguez High School,66,74
27584,Alan Kim,M,11th,Rodriguez High School,86,73
37685,Alan Leach,M,12th,Thomas High School,97,98
21052,Alan Lee,M,12th,Bailey High School,74,61
6198,Alan Lopez,M,9th,Shelton High School,79,98
36319,Alan Martinez,M,11th,Ford High School,76,86
2099,Alan Mccoy,M,12th,Huang High School,86,65
1515,Alan Mckinney,M,9th,Huang High School,69,59
30348,Alan Mitchell,M,9th,Johnson High School,76,97
26925,Alan Morris,M,11th,Rodriguez High School,84,72
21610,Alan Obrien,M,11th,Bailey High School,92,72
29220,Alan Ramos,M,11th,Rodriguez High School,81,90
34542,Alan Rios,M,9th,Johnson High School,65,64
24430,Alan Robbins,M,12th,Wright High School,95,78
30671,Alan Schwartz,M,11th,Johnson High School,71,73
20424,Alan Scott,M,9th,Bailey High School,91,63
38785,Alan Simmons,M,12th,Thomas High School,85,86
25663,Alan Thompson,M,12th,Wright High School,96,81
6369,Alan Travis,M,9th,Shelton High School,74,98
9157,Alan Walters,M,11th,Hernandez High School,81,87
36484,Alan Watkins,M,10th,Ford High School,82,97
10904,Alan Williams,M,9th,Hernandez High School,82,85
1474,Albert Anderson,M,10th,Huang High School,82,74
7930,Albert Bishop,M,10th,Hernandez High School,70,98
867,Albert Carter,M,12th,Huang High School,63,84
8304,Albert Dixon,M,12th,Hernandez High School,63,60
9994,Albert Douglas,M,9th,Hernandez High School,97,62
642,Albert Durham,M,9th,Huang High School,65,71
36051,Albert Gallegos,M,9th,Ford High School,87,83
17251,Albert Hall,M,9th,Cabrera High School,97,82
29338,Albert Johnson,M,11th,Rodriguez High School,73,83
12913,Albert Jones,M,10th,Griffin High School,74,79
5951,Albert Nguyen,M,10th,Shelton High School,83,85
24215,Albert Pennington,M,9th,Pena High School,96,95
1984,Albert Reid,M,9th,Huang High School,86,86
14958,Albert Richard,M,11th,Wilson High School,77,84
22098,Albert Romero,M,12th,Bailey High School,90,79
9427,Albert Sanchez,M,10th,Hernandez High School,84,92
20830,Albert Shea,M,9th,Bailey High School,74,78
8809,Albert Smith,M,11th,Hernandez High School,75,78
30368,Albert Torres,M,10th,Johnson High School,73,87
37671,Albert Vaughan,M,11th,Thomas High School,88,77
3818,Albert White,M,9th,Figueroa High School,63,94
15340,Albert Wilson,M,12th,Wilson High School,70,80
27655,Albert Wilson,M,11th,Rodriguez High School,70,59
21679,Albert Wright,M,9th,Bailey High School,65,84
29029,Albert Young,M,9th,Rodriguez High School,75,59
23274,Alec Davis,M,9th,Pena High School,91,75
9394,Alec Heath,M,9th,Hernandez High School,85,56
31399,Alec Jones,M,11th,Johnson High School,79,74
9843,Alec Martinez,M,9th,Hernandez High School,85,61
16406,Alec Morris,M,10th,Cabrera High School,81,89
36088,Alec Rios,M,10th,Ford High School,69,92
32850,Alec Rodriguez,M,9th,Johnson High School,82,98
24155,Alec Ward,M,10th,Pena High School,90,86
4827,Alejandra Ball,F,9th,Figueroa High School,81,79
15292,Alejandra Church,F,12th,Wilson High School,75,78
6829,Alejandra Dickson,F,9th,Shelton High School,73,75
4997,Alejandra Ellis,F,9th,Figueroa High School,91,76
32953,Alejandra Fox,F,9th,Johnson High School,84,72
31868,Alejandra Huff,F,12th,Johnson High School,93,96
36756,Alejandra Lawrence,F,11th,Ford High School,93,94
28797,Alejandra Murray,F,11th,Rodriguez High School,79,96
34109,Alejandra Russell,F,11th,Johnson High School,65,87
795,Alejandra Todd,F,11th,Huang High School,93,66
19257,Alejandra Williamson,F,9th,Bailey High School,82,71
19516,Alejandro Barnett,M,9th,Bailey High School,70,71
19036,Alejandro Carter,M,9th,Bailey High School,70,74
4334,Alejandro Franklin,M,11th,Figueroa High School,87,92
18778,Alejandro Garner,M,10th,Bailey High School,99,62
38062,Alejandro Gould,M,9th,Thomas High School,84,88
2293,Alejandro Jones,M,12th,Huang High School,72,68
33586,Alejandro Palmer,M,9th,Johnson High School,91,63
11601,Alejandro Phillips,M,12th,Hernandez High School,83,77
22043,Alejandro Porter,M,11th,Bailey High School,77,90
30534,Alejandro Rogers,M,12th,Johnson High School,65,93
7823,Alejandro Schmidt,M,9th,Hernandez High School,97,95
29611,Alejandro Simpson,M,11th,Rodriguez High School,93,78
22778,Alejandro Thompson,M,11th,Bailey High School,73,75
37584,Alejandro Wheeler,M,10th,Thomas High School,98,87
25350,Alex Anderson,M,9th,Wright High School,90,96
6815,Alex Bernard,M,12th,Shelton High School,95,88
13474,Alex Butler,M,11th,Griffin High School,83,95
24056,Alex Byrd,M,9th,Pena High School,78,97
12634,Alex Cabrera,M,12th,Griffin High School,96,84
21185,Alex Carey,M,10th,Bailey High School,83,57
